"","UniqueID","HIT_ID","Regex","Accur"
"155",154,15,"xyz[\x5b-\x5f]",1
"156",155,15,"[a-f](\d+)[a-f]",0.4
"157",156,15,"za+",0.6
"158",157,15,"tri[a-f]3",0.6
"159",158,15,"((q4f)?ab)",1
"160",159,15,"[\t\r\f\n ]",0.4
"161",160,16,"tri[abcdef]3",0.8
"162",161,16,"xyz[_\[\]`\^\\]",0.3333333333
"163",162,16,"%([0-9a-fA-F][0-9a-fA-F])",0.4
"164",163,16,"&([A-Za-z0-9_]+);",0.2
"165",164,16,"([}{])",0.2
"166",165,16,"xg1(\d{1,3})%",0.2
"167",166,16,"(dee(do){1,2})",0.6
"168",167,16,"[\t\r\f\n ]",0.6
"169",168,16,"(\$\{)\d+(:[^}]+\})",0.6
"170",169,16,"RR*",0.6
"171",170,17,"([$][{])\d+(:[^}]+[}])",0.6
"172",171,17,"[a-f](\d+)[a-f]",1
"173",172,17,"(q4fab|ab)",0.8
"174",173,17,"[^0-9]",0.25
"175",174,17,"&d([aeiou][aeiou])z",0.8
"176",175,17,"t[\072-\073]+p",0.75
"177",176,17,"no[wxyz]5",0.8
"178",177,17,"\..*",0.5
"179",178,17,"([\072\073])",0.2
"180",179,17,"tuv\w",0.4
"181",180,18,"(:|;)",1
"182",181,18,"xg1(\d{1,3})%",1
"183",182,18,"tuv[A-Za-z0-9_]",1
"184",183,18,"t[\x3a-\x3b]+p",1
"185",184,18,"[\t\r\f\n ]",1
"186",185,18,"%([0-9A-Fa-f]{2})",1
"187",186,18,"no[wxyz]5",1
"188",187,18,"\..*",1
"189",188,18,"(dee(do){1,2})",1
"190",189,18,"[{][$](\d+[.]\d)[}]",1
"191",190,19,"t[.][$]+\d+[*]",1
"192",191,19,"[^0-9A-Za-z]",0.4
"193",192,19,"((q4f)?ab)",NA
"194",193,19,"RR*",1
"195",194,19,"([\0175\0173])",1
"196",195,19,"tri[a-f]3",1
"197",196,19,"tuv\w",0.4
"198",197,19,"[a-f](\d+)[a-f]",1
"199",198,19,"fa[lmnop]{3}",1
"200",199,19,"t[\072-\073]+p",1
"201",200,20,"za+",1
"202",201,20,"xyz[\0133-\0140]",0.8
"203",202,20,"1q\w\w",0.4
"204",203,20,"((q4f){0,1}ab)",0.25
"205",204,20,"tri[a-f]3",0.6
"206",205,20,"([}{])",NA
"207",206,20,"&d([aeiou][aeiou])z",1
"208",207,20,"[\W_]",0
"209",208,20,"xg1([0-9]{1,3})%",0.8
"210",209,20,"(\$\{)\d+(:[^}]+\})",NA
"211",210,21,"[\t\r\f\n ]",1
"212",211,21,"tri[abcdef]3",1
"213",212,21,"\.+",1
"214",213,21,"t[\072-\073]+p",1
"215",214,21,"([\072\073])",1
"216",215,21,"fa[lmnop][lmnop][lmnop]",1
"217",216,21,"xg1([0-9]{1,3})%",1
"218",217,21,"(q4fab|ab)",1
"219",218,21,"[{][$](\d+[.]\d)[}]",1
"220",219,21,"tuv\w",1
"221",220,22,"([0-9]+)\.([0-9]+)",1
"222",221,22,"tri[a-f]3",1
"223",222,22,"((q4f)?ab)",0.8
"224",223,22,"([}{])",1
"225",224,22,"&(\w+);",0.8
"226",225,22,"t[.][$]+\d+[*]",1
"227",226,22,"fa[lmnop]{3}",0.8
"228",227,22,"[\s]",1
"229",228,22,"xyz[_\[\]`\^\\]",1
"230",229,22,"zaa*",1
"231",230,23,"t[.][$]+\d+[*]",1
"232",231,23,"[a-f]([0-9]+)[a-f]",1
"233",232,23,"%([0-9A-Fa-f]{2})",1
"234",233,23,"[\t\r\f\n ]",1
"235",234,23,"([}{])",1
"236",235,23,"(deedo|deedodo)",1
"237",236,23,"tuv\w",1
"238",237,23,"tri[abcdef]3",1
"239",238,23,"t[\072-\073]+p",NA
"240",239,23,"\.+",1
"241",240,24,"&d([aeiou]{2})z",1
"242",241,24,"[\s]",0.8
"243",242,24,"[a-f]([0-9]+)[a-f]",1
"244",243,24,"(\$\{)\d+(:[^}]+\})",1
"245",244,24,"no[wxyz]5",1
"246",245,24,"\..*",1
"247",246,24,"tuv\w",1
"248",247,24,"([\072\073])",1
"249",248,24,"((q4f)?ab)",1
"250",249,24,"xyz[\x5b-\x5f]",1
"251",250,25,"RR*",1
"252",251,25,"&(\w+);",0.8
"253",252,25,"xg1(\d{1,3})%",1
"254",253,25,"%([0-9A-Fa-f]{2})",0.6
"255",254,25,"([\072\073])",0.5
"256",255,25,"xyz[\0133-\0140]",1
"257",256,25,"no[w-z]5",1
"258",257,25,"[\D]",1
"259",258,25,"(deedo(do)?)",0.6
"260",259,25,"t\.\$+\d+\*",1
"261",260,26,"(\$\{)\d+(:[^}]+\})",0.6
"262",261,26,"(deedo|deedodo)",0.4
"263",262,26,"R+",0.6
"264",263,26,"%([0-9a-fA-F][0-9a-fA-F])",0.6
"265",264,26,"tri[abcdef]3",0.8
"266",265,26,"(\{|\})",0.4
"267",266,26,"([0-9]+)\.([0-9]+)",1
"268",267,26,"t[:;]+p",1
"269",268,26,"&(\w+);",0.8
"270",269,26,"[\s]",1
"271",270,27,"no[w-z]5",1
"272",271,27,"t[\072-\073]+p",1
"273",272,27,"(deedo(do)?)",0.4
"274",273,27,"1q\w\w",1
"275",274,27,"t\.\$+\d+\*",1
"276",275,27,"%([0-9A-Fa-f]{2})",1
"277",276,27,"[\W_]",1
"278",277,27,"([0-9]+)\.([0-9]+)",1
"279",278,27,"\.+",0.8
"280",279,27,"([:;])",1
"281",280,28,"[\t\r\f\n ]",1
"282",281,28,"R+",1
"283",282,28,"1q\w\w",0.75
"284",283,28,"([\0175\0173])",NA
"285",284,28,"tri[abcdef]3",1
"286",285,28,"([$][{])\d+(:[^}]+[}])",NA
"287",286,28,"xg1([0-9]{1,3})%",1
"288",287,28,"fa[lmnop][lmnop][lmnop]",1
"289",288,28,"(deedo|deedodo)",1
"290",289,28,"xyz[\x5b-\x5f]",1
"291",290,29,"([$][{])\d+(:[^}]+[}])",0.6
"292",291,29,"no(w|x|y|z)5",0.8
"293",292,29,"([\072\073])",0.4
"294",293,29,"t[\x3a-\x3b]+p",1
"295",294,29,"[a-f]([0-9]+)[a-f]",0.8
"296",295,29,"1q\w\w",0.8
"297",296,29,"fa[lmnop][lmnop][lmnop]",1
"298",297,29,"\.+",0.8
"299",298,29,"[^0-9]",1
"300",299,29,"(deedo(do)?)",0.6
"301",300,30,"&d([aeiou]{2})z",0.25
"302",301,30,"tri(a|b|c|d|e|f)3",0.75
"303",302,30,"(\d+)\.(\d+)",0.6
"304",303,30,"zaa*",0.8
"305",304,30,"t[:;]+p",1
"306",305,30,"[\W_]",0.5
"307",306,30,"([\0175\0173])",0.5
"308",307,30,"(q4fab|ab)",0.25
"309",308,30,"[{][$](\d+[.]\d)[}]",0.75
"310",309,30,"tuv\w",0.8
"311",310,31,"tuv\w",1
"312",311,31,"\.+",1
"313",312,31,"xyz[_\[\]`\^\\]",1
"314",313,31,"[a-f](\d+)[a-f]",1
"315",314,31,"((q4f)?ab)",0.6
"316",315,31,"no[w-z]5",0.8
"317",316,31,"[^0-9A-Za-z]",0
"318",317,31,"&d([aeiou]{2})z",1
"319",318,31,"(:|;)",1
"320",319,31,"t[.][$]+\d+[*]",1
"321",320,32,"[\W_]",0.8
"322",321,32,"tri(a|b|c|d|e|f)3",0.75
"323",322,32,"tuv[A-Za-z0-9_]",0.75
"324",323,32,"(:|;)",1
"325",324,32,"(dee(do){1,2})",0.6
"326",325,32,"xyz[_\[\]`\^\\]",0.6
"327",326,32,"t\.\$+\d+\*",0.6
"328",327,32,"fa[lmnop]{3}",0
"329",328,32,"[a-f](\d+)[a-f]",0.4
"330",329,32,"za+",0.6
"331",330,33,"xg1(\d{1,3})%",1
"332",331,33,"(dee(do){1,2})",1
"333",332,33,"t[\072-\073]+p",1
"334",333,33,"[\D]",1
"335",334,33,"\..*",1
"336",335,33,"([$][{])\d+(:[^}]+[}])",1
"337",336,33,"([}{])",1
"338",337,33,"&d([aeiou][aeiou])z",1
"339",338,33,"1q[A-Za-z0-9_][A-Za-z0-9_]",0.8
"340",339,33,"tri(a|b|c|d|e|f)3",1
"341",340,34,"(\d+)\.(\d+)",1
"342",341,34,"&(\w+);",0.8
"343",342,34,"no(w|x|y|z)5",1
"344",343,34,"t[:;]+p",1
"345",344,34,"[{][$](\d+[.]\d)[}]",1
"346",345,34,"zaa*",0.6
"347",346,34,"((q4f){0,1}ab)",0.6
"348",347,34,"([}{])",0.25
"349",348,34,"%([0-9a-fA-F][0-9a-fA-F])",0.3333333333
"350",349,34,"[\t\r\f\n ]",0.6
"351",350,35,"[{][$](\d+[.]\d)[}]",1
"352",351,35,"(\{|\})",0.4
"353",352,35,"[a-f](\d+)[a-f]",0.8
"354",353,35,"[^0-9]",0.6
"355",354,35,"(dee(do){1,2})",0.4
"356",355,35,"\.+",0.8
"357",356,35,"xyz[_\[\]`\^\\]",0.6
"358",357,35,"no[w-z]5",1
"359",358,35,"%([0-9a-fA-F][0-9a-fA-F])",0.6
"360",359,35,"&(\w+);",0.8
"361",360,36,"([$][{])\d+(:[^}]+[}])",0.6
"362",361,36,"tri[a-f]3",1
"363",362,36,"R+",1
"364",363,36,"&([A-Za-z0-9_]+);",0.6
"365",364,36,"t[\x3a-\x3b]+p",NA
"366",365,36,"&d([aeiou]{2})z",0.8
"367",366,36,"[\W_]",0
"368",367,36,"(deedo(do)?)",0.6
"369",368,36,"(\{|\})",0.4
"370",369,36,"xg1([0-9]{1,3})%",0.8
"371",370,37,"&d([aeiou]{2})z",1
"372",371,37,"xyz[\x5b-\x5f]",1
"373",372,37,"(:|;)",1
"374",373,37,"(deedo|deedodo)",1
"375",374,37,"[^0-9A-Za-z]",1
"376",375,37,"[a-f]([0-9]+)[a-f]",1
"377",376,37,"t\.\$+\d+\*",1
"378",377,37,"tri[abcdef]3",1
"379",378,37,"\.+",0.8
"380",379,37,"tuv\w",1
"381",380,38,"(deedo|deedodo)",1
"382",381,38,"%([0-9a-fA-F][0-9a-fA-F])",1
"383",382,38,"&([A-Za-z0-9_]+);",1
"384",383,38,"[^0-9A-Za-z]",1
"385",384,38,"xg1(\d{1,3})%",1
"386",385,38,"\..*",1
"387",386,38,"xyz[\0133-\0140]",1
"388",387,38,"([\0175\0173])",1
"389",388,38,"[{][$](\d+[.]\d)[}]",0.8
"390",389,38,"no(w|x|y|z)5",1
"391",390,39,"RR*",1
"392",391,39,"&(\w+);",1
"393",392,39,"t\.\$+\d+\*",1
"394",393,39,"t[:;]+p",1
"395",394,39,"((q4f){0,1}ab)",0.8
"396",395,39,"[\W_]",1
"397",396,39,"%([0-9A-Fa-f]{2})",1
"398",397,39,"[a-f](\d+)[a-f]",1
"399",398,39,"tri(a|b|c|d|e|f)3",1
"400",399,39,"([\0175\0173])",0.4
"401",400,40,"&d([aeiou]{2})z",0.8
"402",401,40,"\{\$(\d+\.\d)\}",0.8
"403",402,40,"xg1(\d{1,3})%",0.6
"404",403,40,"([\0175\0173])",0.4
"405",404,40,"[^0-9]",0
"406",405,40,"no[w-z]5",0.8
"407",406,40,"\.+",0.8
"408",407,40,"1q\w\w",0.3333333333
"409",408,40,"t[\072-\073]+p",1
"410",409,40,"(deedo(do)?)",1
"411",410,41,"xyz[\x5b-\x5f]",1
"412",411,41,"([0-9]+)\.([0-9]+)",0.5
"413",412,41,"za+",0.6
"414",413,41,"tri[abcdef]3",1
"415",414,41,"&d([aeiou][aeiou])z",0.25
"416",415,41,"&([A-Za-z0-9_]+);",0.5
"417",416,41,"\{\$(\d+\.\d)\}",0.25
"418",417,41,"([\072\073])",0.25
"419",418,41,"((q4f)?ab)",0.5
"420",419,41,"[\t\r\f\n ]",0.6666666667
"421",420,42,"xyz[\0133-\0140]",0.6
"422",421,42,"((q4f){0,1}ab)",0.6
"423",422,42,"tuv[A-Za-z0-9_]",1
"424",423,42,"xg1([0-9]{1,3})%",1
"425",424,42,"fa[lmnop]{3}",1
"426",425,42,"[^0-9A-Za-z]",1
"427",426,42,"[{][$](\d+[.]\d)[}]",1
"428",427,42,"za+",1
"429",428,42,"tri(a|b|c|d|e|f)3",1
"430",429,42,"(:|;)",1
"431",430,43,"t[\072-\073]+p",1
"432",431,43,"(deedo|deedodo)",1
"433",432,43,"t[.][$]+\d+[*]",1
"434",433,43,"fa[lmnop]{3}",1
"435",434,43,"zaa*",1
"436",435,43,"no(w|x|y|z)5",1
"437",436,43,"&(\w+);",0.6
"438",437,43,"[a-f](\d+)[a-f]",1
"439",438,43,"([}{])",0.8
"440",439,43,"[\D]",0.4
"441",440,44,"(dee(do){1,2})",0.4
"442",441,44,"%([0-9A-Fa-f]{2})",0.4
"443",442,44,"1q[A-Za-z0-9_][A-Za-z0-9_]",0.6
"444",443,44,"[a-f]([0-9]+)[a-f]",0.8
"445",444,44,"xyz[_\[\]`\^\\]",0.5
"446",445,44,"R+",1
"447",446,44,"[\t\r\f\n ]",0.6
"448",447,44,"([$][{])\d+(:[^}]+[}])",0.5
"449",448,44,"no[wxyz]5",1
"450",449,44,"(\{|\})",0.25
"451",450,45,"[a-f](\d+)[a-f]",0.8
"452",451,45,"\.+",0.8
"453",452,45,"tri(a|b|c|d|e|f)3",1
"454",453,45,"xyz[\0133-\0140]",0.6
"455",454,45,"tuv[A-Za-z0-9_]",0.8
"456",455,45,"t[.][$]+\d+[*]",0.8
"457",456,45,"&d([aeiou]{2})z",1
"458",457,45,"(deedo(do)?)",0.6
"459",458,45,"[^0-9A-Za-z]",1
"460",459,45,"([:;])",1
"461",460,46,"%([0-9a-fA-F][0-9a-fA-F])",0.6
"462",461,46,"([0-9]+)\.([0-9]+)",1
"463",462,46,"xyz[\0133-\0140]",1
"464",463,46,"(q4fab|ab)",1
"465",464,46,"&([A-Za-z0-9_]+);",1
"466",465,46,"\{\$(\d+\.\d)\}",1
"467",466,46,"([:;])",1
"468",467,46,"[\W_]",0.4
"469",468,46,"no[w-z]5",0.8
"470",469,46,"za+",1
"471",470,47,"za+",1
"472",471,47,"(dee(do){1,2})",0.8
"473",472,47,"([\072\073])",1
"474",473,47,"t[\x3a-\x3b]+p",1
"475",474,47,"tri[a-f]3",1
"476",475,47,"([$][{])\d+(:[^}]+[}])",0.6
"477",476,47,"[\t\r\f\n ]",1
"478",477,47,"&([A-Za-z0-9_]+);",1
"479",478,47,"xg1(\d{1,3})%",1
"480",479,47,"fa[lmnop]{3}",1
"481",480,48,"xg1([0-9]{1,3})%",0.4
"482",481,48,"(\$\{)\d+(:[^}]+\})",0.6
"483",482,48,"tuv[A-Za-z0-9_]",0.8
"484",483,48,"xyz[\x5b-\x5f]",0.6
"485",484,48,"&d([aeiou]{2})z",1
"486",485,48,"((q4f){0,1}ab)",NA
"487",486,48,"[\W_]",0.6
"488",487,48,"R+",1
"489",488,48,"(:|;)",0.4
"490",489,48,"tri[abcdef]3",1
"491",490,49,"t\.\$+\d+\*",1
"492",491,49,"&([A-Za-z0-9_]+);",1
"493",492,49,"[\D]",0.4
"494",493,49,"\.+",1
"495",494,49,"t[\072-\073]+p",0.8
"496",495,49,"no(w|x|y|z)5",1
"497",496,49,"[a-f]([0-9]+)[a-f]",1
"498",497,49,"%([0-9A-Fa-f]{2})",1
"499",498,49,"([:;])",1
"500",499,49,"(dee(do){1,2})",1
"501",500,50,"(deedo(do)?)",1
"502",501,50,"(\{|\})",1
"503",502,50,"([$][{])\d+(:[^}]+[}])",1
"504",503,50,"zaa*",1
"505",504,50,"t[:;]+p",0.8
"506",505,50,"[\t\r\f\n ]",1
"507",506,50,"tri(a|b|c|d|e|f)3",0.8
"508",507,50,"&([A-Za-z0-9_]+);",1
"509",508,50,"xg1([0-9]{1,3})%",1
"510",509,50,"&d([aeiou]{2})z",1
"511",510,51,"t\.\$+\d+\*",1
"512",511,51,"&(\w+);",0.8
"513",512,51,"tri[abcdef]3",1
"514",513,51,"t[:;]+p",1
"515",514,51,"(dee(do){1,2})",0.8
"516",515,51,"zaa*",1
"517",516,51,"([}{])",1
"518",517,51,"[\s]",1
"519",518,51,"fa[lmnop][lmnop][lmnop]",1
"520",519,51,"[a-f](\d+)[a-f]",1
"521",520,52,"t[\072-\073]+p",1
"522",521,52,"[\D]",0.4
"523",522,52,"za+",1
"524",523,52,"%([0-9a-fA-F][0-9a-fA-F])",0.4
"525",524,52,"([$][{])\d+(:[^}]+[}])",0.8
"526",525,52,"((q4f)?ab)",0.6
"527",526,52,"[a-f]([0-9]+)[a-f]",1
"528",527,52,"no[w-z]5",1
"529",528,52,"(\{|\})",1
"530",529,52,"tuv[A-Za-z0-9_]",1
"531",530,53,"\{\$(\d+\.\d)\}",1
"532",531,53,"\..*",0.8
"533",532,53,"xg1(\d{1,3})%",1
"534",533,53,"((q4f){0,1}ab)",1
"535",534,53,"no[w-z]5",1
"536",535,53,"[\D]",1
"537",536,53,"(:|;)",1
"538",537,53,"t[\072-\073]+p",1
"539",538,53,"1q[A-Za-z0-9_][A-Za-z0-9_]",1
"540",539,53,"&d([aeiou][aeiou])z",1
"541",540,54,"([$][{])\d+(:[^}]+[}])",1
"542",541,54,"(deedo(do)?)",1
"543",542,54,"RR*",1
"544",543,54,"tri[a-f]3",1
"545",544,54,"xg1(\d{1,3})%",1
"546",545,54,"([}{])",0.8
"547",546,54,"tuv\w",1
"548",547,54,"fa[lmnop]{3}",1
"549",548,54,"[^0-9A-Za-z]",1
"550",549,54,"t[\072-\073]+p",1
"551",550,55,"(deedo|deedodo)",0.4
"552",551,55,"&d([aeiou]{2})z",1
"553",552,55,"([\072\073])",0.25
"554",553,55,"([$][{])\d+(:[^}]+[}])",1
"555",554,55,"zaa*",0.6
"556",555,55,"tri[abcdef]3",1
"557",556,55,"&(\w+);",0.8
"558",557,55,"xyz[\0133-\0140]",1
"559",558,55,"[^0-9A-Za-z]",0.75
"560",559,55,"[a-f]([0-9]+)[a-f]",0.8
"561",560,56,"%([0-9a-fA-F][0-9a-fA-F])",0.5
"562",561,56,"no(w|x|y|z)5",1
"563",562,56,"t[\x3a-\x3b]+p",0.5
"564",563,56,"(q4fab|ab)",0.8
"565",564,56,"t\.\$+\d+\*",0.5
"566",565,56,"RR*",0.6
"567",566,56,"[^0-9A-Za-z]",0.6
"568",567,56,"tuv[A-Za-z0-9_]",0.8
"569",568,56,"(\d+)\.(\d+)",0.8
"570",569,56,"(\{|\})",0
"571",570,57,"(\d+)\.(\d+)",1
"572",571,57,"[\s]",1
"573",572,57,"([$][{])\d+(:[^}]+[}])",0.6
"574",573,57,"tri(a|b|c|d|e|f)3",1
"575",574,57,"(deedo(do)?)",0.6
"576",575,57,"&([A-Za-z0-9_]+);",1
"577",576,57,"za+",1
"578",577,57,"([:;])",1
"579",578,57,"t[\x3a-\x3b]+p",1
"580",579,57,"&d([aeiou][aeiou])z",1
"581",580,58,"(\{|\})",0.8
"582",581,58,"xyz[\0133-\0140]",0.5
"583",582,58,"[\D]",1
"584",583,58,"(q4fab|ab)",0.75
"585",584,58,"%([0-9a-fA-F][0-9a-fA-F])",0.4
"586",585,58,"R+",1
"587",586,58,"t\.\$+\d+\*",0.8
"588",587,58,"1q[A-Za-z0-9_][A-Za-z0-9_]",0.6
"589",588,58,"no[wxyz]5",1
"590",589,58,"(\d+)\.(\d+)",1
"591",590,59,"&d([aeiou][aeiou])z",1
"592",591,59,"([}{])",1
"593",592,59,"[\t\r\f\n ]",1
"594",593,59,"tri(a|b|c|d|e|f)3",1
"595",594,59,"(deedo|deedodo)",1
"596",595,59,"([0-9]+)\.([0-9]+)",1
"597",596,59,"t\.\$+\d+\*",1
"598",597,59,"1q\w\w",1
"599",598,59,"t[:;]+p",1
"600",599,59,"RR*",0.6
"601",600,60,"&d([aeiou]{2})z",1
"602",601,60,"[\D]",0.4
"603",602,60,"\{\$(\d+\.\d)\}",1
"604",603,60,"za+",1
"605",604,60,"(deedo(do)?)",1
"606",605,60,"[a-f](\d+)[a-f]",1
"607",606,60,"([:;])",1
"608",607,60,"no(w|x|y|z)5",1
"609",608,60,"tuv[A-Za-z0-9_]",1
"610",609,60,"t[\x3a-\x3b]+p",0.8
"611",610,61,"((q4f)?ab)",0.6
"612",611,61,"&d([aeiou][aeiou])z",1
"613",612,61,"tuv[A-Za-z0-9_]",0.8
"614",613,61,"([$][{])\d+(:[^}]+[}])",0.8
"615",614,61,"no[w-z]5",1
"616",615,61,"[a-f]([0-9]+)[a-f]",0.8
"617",616,61,"(:|;)",0.4
"618",617,61,"zaa*",0.6
"619",618,61,"xyz[_\[\]`\^\\]",0.6
"620",619,61,"[\W_]",0.6
"621",620,62,"za+",1
"622",621,62,"t\.\$+\d+\*",1
"623",622,62,"fa[lmnop]{3}",0.8
"624",623,62,"tri(a|b|c|d|e|f)3",1
"625",624,62,"tuv\w",1
"626",625,62,"[\D]",1
"627",626,62,"((q4f)?ab)",1
"628",627,62,"(\{|\})",0.8
"629",628,62,"t[:;]+p",0.8
